in s,D7,D6,D5,D4,D3,D2,D1,D0
1.072E-05,0,0,0,0,1,0,0,0
1.076E-05,0,0,0,0,1,0,0,0
1.080E-05,0,0,0,0,1,0,0,0
1.084E-05,0,0,0,0,1,0,0,0
1.088E-05,0,0,0,0,1,0,0,0
1.092E-05,0,0,0,0,1,0,0,0
1.096E-05,0,0,0,0,1,0,0,0
1.100E-05,0,0,0,0,1,0,0,0
1.104E-05,0,0,0,0,1,0,0,0
1.108E-05,0,0,0,0,1,0,0,0
1.112E-05,0,0,0,0,1,0,0,0
1.116E-05,0,0,0,0,1,0,0,0
1.120E-05,0,0,0,0,1,0,0,0
1.124E-05,0,0,0,0,1,0,0,0
1.128E-05,0,0,0,0,1,0,0,0
1.132E-05,0,0,0,0,1,0,0,0
1.136E-05,0,0,0,0,1,0,0,0
1.140E-05,0,0,0,0,1,0,0,0
1.144E-05,0,0,0,0,1,0,0,0
1.148E-05,0,0,0,0,1,0,0,0
1.152E-05,0,0,0,0,1,0,0,0
1.156E-05,0,0,0,0,1,0,0,0
1.160E-05,0,0,0,0,1,0,0,0
1.164E-05,0,0,0,0,1,0,0,0
1.168E-05,0,0,0,0,1,0,0,0
1.172E-05,0,0,0,0,1,0,0,0
1.176E-05,0,0,0,0,1,0,0,0
1.180E-05,0,0,0,0,1,0,0,0
1.184E-05,0,0,0,0,1,0,0,0
1.188E-05,0,0,0,0,1,0,0,0
1.192E-05,0,0,0,0,1,0,1,0
1.196E-05,0,0,0,0,1,0,0,0
1.200E-05,0,0,0,0,1,0,1,0
1.204E-05,0,0,0,0,0,0,0,0
1.208E-05,0,0,0,0,0,0,1,0
1.212E-05,0,0,0,0,0,0,0,0
1.216E-05,0,0,0,0,0,0,1,0
1.220E-05,0,0,0,0,0,0,0,0
1.224E-05,0,0,0,0,0,0,1,0
1.228E-05,0,0,0,0,0,0,0,0
1.232E-05,0,0,0,0,0,0,0,0
1.236E-05,0,0,0,0,0,0,1,0
1.240E-05,0,0,0,0,0,0,0,0
1.244E-05,0,0,0,0,0,0,1,0
1.248E-05,0,0,0,0,0,0,0,0
1.252E-05,0,0,0,0,0,0,1,0
1.256E-05,0,0,0,0,0,0,0,0
1.260E-05,0,0,0,0,0,0,0,0
1.264E-05,0,0,0,0,0,0,0,0
1.268E-05,0,0,0,0,0,0,0,0
1.272E-05,0,0,0,0,0,0,0,0
1.276E-05,0,0,0,0,0,0,0,0
1.280E-05,0,0,0,0,0,0,0,0
1.284E-05,0,0,0,0,0,0,0,0
1.288E-05,0,0,0,0,0,0,0,0
1.292E-05,0,0,0,0,0,0,0,0
1.296E-05,0,0,0,0,0,0,0,0
1.300E-05,0,0,0,0,0,0,0,0
1.304E-05,0,0,0,0,0,0,0,0
1.308E-05,0,0,0,0,0,0,0,0
1.312E-05,0,0,0,0,0,0,0,0
1.316E-05,0,0,0,0,0,0,0,0
1.320E-05,0,0,0,0,0,0,0,0
1.324E-05,0,0,0,0,0,0,0,0
1.328E-05,0,0,0,0,0,0,0,0
1.332E-05,0,0,0,0,0,0,0,0
1.336E-05,0,0,0,0,0,0,0,0
1.340E-05,0,0,0,0,0,0,0,0
1.344E-05,0,0,0,0,0,0,0,0
1.348E-05,0,0,0,0,0,0,0,0
1.352E-05,0,0,0,0,0,0,0,0
1.356E-05,0,0,0,0,0,0,0,0
1.360E-05,0,0,0,0,0,0,0,0
1.364E-05,0,0,0,0,0,0,0,0
1.368E-05,0,0,0,0,0,0,0,0
1.372E-05,0,0,0,0,0,0,0,0
1.376E-05,0,0,0,0,0,0,0,0
1.380E-05,0,0,0,0,0,0,0,0
1.384E-05,0,0,0,0,0,0,0,0
1.388E-05,0,0,0,0,0,0,1,0
1.392E-05,0,0,0,0,0,0,0,0
1.396E-05,0,0,0,0,0,0,1,0
1.400E-05,0,0,0,0,0,0,0,0
1.404E-05,0,0,0,0,0,0,1,0
1.408E-05,0,0,0,0,0,0,0,0
1.412E-05,0,0,0,0,0,0,1,0
1.416E-05,0,0,0,0,0,0,0,0
1.420E-05,0,0,0,0,0,0,1,0
1.424E-05,0,0,0,0,0,0,0,0
1.428E-05,0,0,0,0,0,0,0,0
1.432E-05,0,0,0,0,0,0,1,0
1.436E-05,0,0,0,0,0,0,0,0
1.440E-05,0,0,0,0,0,0,1,0
1.444E-05,0,0,0,0,0,0,0,0
1.448E-05,0,0,0,0,0,0,1,0
1.452E-05,0,0,0,0,0,0,0,0
1.456E-05,0,0,0,0,0,0,0,0
1.460E-05,0,0,0,0,0,0,0,0
1.464E-05,0,0,0,0,0,0,0,0
1.468E-05,0,0,0,0,0,0,0,0
1.472E-05,0,0,0,0,0,0,0,0
1.476E-05,0,0,0,0,0,0,0,0
1.480E-05,0,0,0,0,0,0,0,0
1.484E-05,0,0,0,0,0,0,0,0
1.488E-05,0,0,0,0,0,0,0,0
1.492E-05,0,0,0,0,0,0,0,0
1.496E-05,0,0,0,0,0,0,0,0
1.500E-05,0,0,0,0,0,0,0,0
1.504E-05,0,0,0,0,0,0,0,0
1.508E-05,0,0,0,0,0,0,0,0
1.512E-05,0,0,0,0,0,0,0,0
1.516E-05,0,0,0,0,0,0,0,0
1.520E-05,0,0,0,0,0,0,0,0
1.524E-05,0,0,0,0,0,0,0,0
1.528E-05,0,0,0,0,0,0,0,0
1.532E-05,0,0,0,0,0,0,0,0
1.536E-05,0,0,0,0,0,0,0,0
1.540E-05,0,0,0,0,0,0,0,0
1.544E-05,0,0,0,0,0,0,0,0
1.548E-05,0,0,0,0,0,0,0,0
1.552E-05,0,0,0,0,0,0,0,0
1.556E-05,0,0,0,0,0,0,0,0
1.560E-05,0,0,0,0,0,0,0,0
1.564E-05,0,0,0,0,0,0,0,0
1.568E-05,0,0,0,0,0,0,0,0
1.572E-05,0,0,0,0,0,0,0,0
1.576E-05,0,0,0,0,0,0,0,0
1.580E-05,0,0,0,0,0,0,0,0
1.584E-05,0,0,0,0,0,0,1,0
1.588E-05,0,0,0,0,0,0,0,0
1.592E-05,0,0,0,0,0,0,1,0
1.596E-05,0,0,0,0,0,0,0,0
1.600E-05,0,0,0,0,0,0,1,0
1.604E-05,0,0,0,0,0,0,0,0
1.608E-05,0,0,0,0,0,0,1,0
1.612E-05,0,0,0,0,0,0,0,0
1.616E-05,0,0,0,0,0,0,1,0
1.620E-05,0,0,0,0,0,0,0,0
1.624E-05,0,0,0,0,0,0,1,0
1.628E-05,0,0,0,0,0,0,0,0
1.632E-05,0,0,0,0,0,0,0,0
1.636E-05,0,0,0,0,0,0,1,0
1.640E-05,0,0,0,0,0,0,0,0
1.644E-05,0,0,0,0,0,0,1,0
1.648E-05,0,0,0,0,0,0,0,0
1.652E-05,0,0,0,0,0,0,0,0
1.656E-05,0,0,0,0,0,0,0,0
1.660E-05,0,0,0,0,0,0,0,0
1.664E-05,0,0,0,0,0,0,0,0
1.668E-05,0,0,0,0,0,0,0,0
1.672E-05,0,0,0,0,0,0,0,0
1.676E-05,0,0,0,0,0,0,0,0
1.680E-05,0,0,0,0,0,0,0,0
1.684E-05,0,0,0,0,0,0,0,0
1.688E-05,0,0,0,0,0,0,0,0
1.692E-05,0,0,0,0,0,0,0,0
1.696E-05,0,0,0,0,0,0,0,0
1.700E-05,0,0,0,0,0,0,0,0
1.704E-05,0,0,0,0,0,0,0,0
1.708E-05,0,0,0,0,0,0,0,0
1.712E-05,0,0,0,0,0,0,0,0
1.716E-05,0,0,0,0,0,0,0,0
1.720E-05,0,0,0,0,0,0,0,0
1.724E-05,0,0,0,0,0,0,0,0
1.728E-05,0,0,0,0,0,0,0,0
1.732E-05,0,0,0,0,0,0,0,0
1.736E-05,0,0,0,0,0,0,0,0
1.740E-05,0,0,0,0,0,0,0,0
1.744E-05,0,0,0,0,0,0,0,0
1.748E-05,0,0,0,0,0,0,0,0
1.752E-05,0,0,0,0,0,0,0,0
1.756E-05,0,0,0,0,0,0,0,0
1.760E-05,0,0,0,0,0,0,0,0
1.764E-05,0,0,0,0,0,0,0,0
1.768E-05,0,0,0,0,0,0,0,1
1.772E-05,0,0,0,0,0,0,0,1
1.776E-05,0,0,0,0,0,0,0,1
1.780E-05,0,0,0,0,0,0,0,1
1.784E-05,0,0,0,0,0,0,0,1
1.788E-05,0,0,0,0,0,0,0,1
1.792E-05,0,0,0,0,0,0,0,1
1.796E-05,0,0,0,0,0,0,0,1
1.800E-05,0,0,0,0,0,0,0,1
1.804E-05,0,0,0,0,0,0,0,1
1.808E-05,0,0,0,0,0,0,0,1
1.812E-05,0,0,0,0,0,0,0,1
1.816E-05,0,0,0,0,0,0,0,1
1.820E-05,0,0,0,0,0,0,0,1
1.824E-05,0,0,0,0,0,0,0,1
1.828E-05,0,0,0,0,0,0,0,1
1.832E-05,0,0,0,0,0,0,0,1
1.836E-05,0,0,0,0,0,0,0,1
1.840E-05,0,0,0,0,0,0,0,1
1.844E-05,0,0,0,0,0,0,0,1
1.848E-05,0,0,0,0,0,0,0,1
1.852E-05,0,0,0,0,0,0,0,1
1.856E-05,0,0,0,0,0,0,0,1
1.860E-05,0,0,0,0,0,0,0,1
1.864E-05,0,0,0,0,0,0,0,1
1.868E-05,0,0,0,0,0,0,0,1
1.872E-05,0,0,0,0,0,0,0,1
1.876E-05,0,0,0,0,0,0,0,1
1.880E-05,0,0,0,0,0,0,0,1
1.884E-05,0,0,0,0,0,0,0,1
1.888E-05,0,0,0,0,0,0,0,1
1.892E-05,0,0,0,0,0,0,0,1
1.896E-05,0,0,0,0,0,0,0,1
1.900E-05,0,0,0,0,0,0,0,0
1.904E-05,0,0,0,0,0,0,0,0
1.908E-05,0,0,0,0,0,0,0,0
1.912E-05,0,0,0,0,0,0,0,0
1.916E-05,0,0,0,0,0,0,0,0
1.920E-05,0,0,0,0,0,0,0,0
1.924E-05,0,0,0,0,0,0,0,0
1.928E-05,0,0,0,0,0,0,0,0
1.932E-05,0,0,0,0,0,0,0,0
1.936E-05,0,0,0,0,0,0,0,0
1.940E-05,0,0,0,0,0,0,0,0
1.944E-05,0,0,0,0,0,0,0,0
1.948E-05,0,0,0,0,0,0,1,0
1.952E-05,0,0,0,0,0,0,0,0
1.956E-05,0,0,0,0,0,0,1,0
1.960E-05,0,0,0,0,1,0,0,0
1.964E-05,0,0,0,0,1,0,1,0
1.968E-05,0,0,0,0,1,0,0,0
1.972E-05,0,0,0,0,1,0,1,0
1.976E-05,0,0,0,0,1,0,0,0
1.980E-05,0,0,0,0,1,0,1,0
1.984E-05,0,0,0,0,0,0,0,0
1.988E-05,0,0,0,0,0,0,1,0
1.992E-05,0,0,0,0,1,0,0,0
1.996E-05,0,0,0,0,1,0,1,0
2.000E-05,0,0,0,0,0,0,0,0
2.004E-05,0,0,0,0,0,0,1,0
2.008E-05,0,0,0,0,1,0,0,0
2.012E-05,0,0,0,0,1,0,0,0
2.016E-05,0,0,0,0,1,0,0,0
2.020E-05,0,0,0,0,1,0,0,0
2.024E-05,0,0,0,0,1,0,0,0
2.028E-05,0,0,0,0,1,0,0,0
2.032E-05,0,0,0,0,1,0,0,0
2.036E-05,0,0,0,0,1,0,0,0
2.040E-05,0,0,0,0,1,0,0,0
2.044E-05,0,0,0,0,1,0,0,0
2.048E-05,0,0,0,0,1,0,0,0
2.052E-05,0,0,0,0,1,0,0,0
